event_id,timestamp,recipient,sender,subject,url,attachment,spf,dkim,dmarc,url_reputation,verdict,reason
E00016,2026-09-07 11:38:50,mukwambi,no-reply@microsoft.com,Purchase order update,https://portal.example.com/6530,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00017,2026-09-07 11:40:47,nduminga,procurement@supplier.na,Service notification,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00018,2026-09-07 12:04:40,nghifindaka,billing@cloudservice.com,Monthly statement,,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00019,2026-09-07 12:11:58,shilongo,alerts@vendor.com,Password expiry notice,https://portal.example.com/9095,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00020,2026-09-07 12:30:11,kndjavera,no-reply@microsoft.com,Invoice available,https://portal.example.com/2597,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00021,2026-09-07 12:38:56,ntinda,procurement@supplier.na,Industry newsletter,https://portal.example.com/9975,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00022,2026-09-07 13:10:25,katjiuongua,no-reply@microsoft.com,Invoice available,https://portal.example.com/3872,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00023,2026-09-07 13:35:26,nduminga,statements@banking-partner.na,Password expiry notice,https://portal.example.com/2731,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00024,2026-09-07 13:44:32,sihuhua,training@nust.na,Monthly statement,https://portal.example.com/7381,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00025,2026-09-07 13:45:29,nghifindaka,training@nust.na,Monthly statement,https://portal.example.com/3984,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00026,2026-09-07 13:50:34,pnakale,procurement@supplier.na,Invoice available,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00027,2026-09-07 13:59:37,amupanda,training@nust.na,Monthly statement,https://portal.example.com/7290,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00028,2026-09-07 14:01:53,murorua,newsletter@industry.org,Monthly statement,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00029,2026-09-07 14:15:02,nnakale,training@nust.na,Password expiry notice,https://portal.example.com/8113,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00030,2026-09-07 14:15:26,nambala,alerts@vendor.com,Industry newsletter,https://portal.example.com/4985,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00031,2026-09-07 14:16:09,mukwambi,no-reply@microsoft.com,Password expiry notice,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00032,2026-09-07 14:25:20,tshivute,procurement@supplier.na,Monthly statement,https://portal.example.com/7891,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00033,2026-09-07 14:31:47,ntinda,procurement@supplier.na,Service notification,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00034,2026-09-07 14:37:48,mhaingura,alerts@vendor.com,Password expiry notice,,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00035,2026-09-07 14:41:17,tshivute,statements@banking-partner.na,Password expiry notice,https://portal.example.com/3550,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00036,2026-09-07 14:46:56,sankwasa,newsletter@industry.org,Password expiry notice,https://portal.example.com/8323,policy.docx,pass,pass,pass,known-good,QUARANTINE,Attachment heuristic
E00037,2026-09-07 14:52:29,pnakale,procurement@supplier.na,Monthly statement,https://portal.example.com/4396,,pass,pass,pass,known-good,QUARANTINE,Attachment heuristic
E00038,2026-09-07 14:52:59,sankwasa,training@nust.na,Industry newsletter,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00039,2026-09-07 14:54:02,nghifindaka,newsletter@industry.org,Monthly statement,https://portal.example.com/1225,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00040,2026-09-07 14:56:14,haufiku,no-reply@microsoft.com,Invoice available,https://portal.example.com/2271,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00041,2026-09-07 15:02:00,tkamati,procurement@supplier.na,Password expiry notice,https://portal.example.com/9481,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00042,2026-09-07 15:09:09,mukwambi,procurement@supplier.na,Industry newsletter,https://portal.example.com/3622,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00043,2026-09-07 15:13:46,ndjaba,statements@banking-partner.na,Invoice available,https://portal.example.com/3354,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00044,2026-09-07 15:16:29,mukwambi,procurement@supplier.na,Password expiry notice,https://portal.example.com/5755,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00045,2026-09-07 15:35:33,murorua,billing@cloudservice.com,Invoice available,https://portal.example.com/7507,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00046,2026-09-07 15:41:18,sihuhua,procurement@supplier.na,Monthly statement,https://portal.example.com/2521,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00047,2026-09-07 15:43:52,amupanda,newsletter@industry.org,Invoice available,https://portal.example.com/6986,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00048,2026-09-07 15:53:27,murorua,no-reply@microsoft.com,Service notification,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00049,2026-09-07 16:23:42,pnakale,procurement@supplier.na,Password expiry notice,https://portal.example.com/8053,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00050,2026-09-07 16:26:32,tjirera,procurement@supplier.na,Monthly statement,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00051,2026-09-07 16:29:33,nambala,statements@banking-partner.na,Monthly statement,https://portal.example.com/5447,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00052,2026-09-07 16:56:49,hamukwaya,newsletter@industry.org,Monthly statement,https://portal.example.com/8023,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00053,2026-09-07 16:57:43,haufiku,no-reply@microsoft.com,Password expiry notice,,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00054,2026-09-07 17:01:33,tkamati,training@nust.na,Monthly statement,https://portal.example.com/4124,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00055,2026-09-07 17:29:41,nghifindaka,no-reply@microsoft.com,Invoice available,https://portal.example.com/5811,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00056,2026-09-07 17:38:51,tkamati,billing@cloudservice.com,Password expiry notice,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00057,2026-09-07 18:09:48,haufiku,alerts@vendor.com,Security awareness reminder,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00058,2026-09-07 18:11:19,katjiuongua,procurement@supplier.na,Monthly statement,https://portal.example.com/6063,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00059,2026-09-07 18:20:32,tkamati,no-reply@microsoft.com,Security awareness reminder,https://portal.example.com/1654,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00060,2026-09-07 18:27:45,mbandeka,newsletter@industry.org,Service notification,https://portal.example.com/6225,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00061,2026-09-07 18:29:23,shilongo,billing@cloudservice.com,Password expiry notice,https://portal.example.com/8914,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00062,2026-09-07 18:31:38,nduminga,newsletter@industry.org,Industry newsletter,https://portal.example.com/5001,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00063,2026-09-07 18:39:24,mukwambi,billing@cloudservice.com,Invoice available,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00064,2026-09-07 18:48:07,nnakale,no-reply@microsoft.com,Security awareness reminder,https://portal.example.com/3026,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00065,2026-09-07 18:48:49,mukwambi,alerts@vendor.com,Service notification,https://portal.example.com/2948,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00066,2026-09-08 07:10:09,kndjavera,billing@cloudservice.com,Industry newsletter,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00067,2026-09-08 07:12:00,nduminga,procurement@supplier.na,Purchase order update,https://portal.example.com/7854,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00068,2026-09-08 07:16:34,nduminga,training@nust.na,Security awareness reminder,https://portal.example.com/5885,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00069,2026-09-08 07:19:39,nambala,procurement@supplier.na,Service notification,,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00070,2026-09-08 07:37:19,tkamati,training@nust.na,Invoice available,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00071,2026-09-08 07:38:32,amupanda,no-reply@microsoft.com,Monthly statement,https://portal.example.com/4052,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00072,2026-09-08 07:41:31,sankwasa,training@nust.na,Monthly statement,https://portal.example.com/6431,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00073,2026-09-08 08:01:28,ntinda,billing@cloudservice.com,Security awareness reminder,https://portal.example.com/6264,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00074,2026-09-08 08:04:36,mbandeka,procurement@supplier.na,Industry newsletter,,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00075,2026-09-08 08:32:32,ntinda,alerts@vendor.com,Service notification,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00076,2026-09-08 08:47:51,amupanda,no-reply@microsoft.com,Monthly statement,https://portal.example.com/4487,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00077,2026-09-08 08:56:45,mhaingura,procurement@supplier.na,Purchase order update,,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00078,2026-09-08 08:58:17,nnakale,no-reply@microsoft.com,Password expiry notice,https://portal.example.com/1777,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00079,2026-09-08 09:48:44,ntinda,statements@banking-partner.na,Password expiry notice,,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00080,2026-09-08 10:02:50,nnakale,procurement@supplier.na,Invoice available,https://portal.example.com/8392,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00081,2026-09-08 10:06:58,mukwambi,training@nust.na,Security awareness reminder,https://portal.example.com/2947,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00082,2026-09-08 10:20:53,shapaka,procurement@supplier.na,Invoice available,,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00083,2026-09-08 10:39:54,nambala,statements@banking-partner.na,Purchase order update,,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00084,2026-09-08 10:46:12,sankwasa,newsletter@industry.org,Invoice available,https://portal.example.com/9317,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00085,2026-09-08 11:10:18,tjirera,training@nust.na,Security awareness reminder,https://portal.example.com/7483,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00086,2026-09-08 11:22:50,tkamati,no-reply@microsoft.com,Service notification,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00087,2026-09-08 11:40:17,tkamati,newsletter@industry.org,Password expiry notice,,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00088,2026-09-08 11:43:17,tshivute,no-reply@microsoft.com,Monthly statement,,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00089,2026-09-08 12:31:30,amupanda,billing@cloudservice.com,Purchase order update,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00090,2026-09-08 12:35:24,tkamati,alerts@vendor.com,Purchase order update,https://portal.example.com/2375,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00091,2026-09-08 12:41:00,mukwambi,alerts@vendor.com,Invoice available,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00092,2026-09-08 12:59:08,tjirera,training@nust.na,Purchase order update,https://portal.example.com/6206,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00093,2026-09-08 13:22:42,mukwambi,statements@banking-partner.na,Service notification,https://portal.example.com/2938,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00094,2026-09-08 13:29:04,shilongo,billing@cloudservice.com,Invoice available,https://portal.example.com/3700,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00095,2026-09-08 13:42:46,sankwasa,billing@cloudservice.com,Security awareness reminder,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00096,2026-09-08 13:54:04,nghifindaka,alerts@vendor.com,Industry newsletter,https://portal.example.com/3026,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00097,2026-09-08 13:56:55,tjirera,procurement@supplier.na,Purchase order update,https://portal.example.com/7660,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00098,2026-09-08 14:19:51,nduminga,newsletter@industry.org,Invoice available,https://portal.example.com/3237,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00099,2026-09-08 14:44:07,shilongo,training@nust.na,Monthly statement,https://portal.example.com/1818,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00100,2026-09-08 14:55:45,tshivute,statements@banking-partner.na,Purchase order update,,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00101,2026-09-08 15:03:03,haufiku,newsletter@industry.org,Invoice available,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00102,2026-09-08 15:03:36,ntinda,newsletter@industry.org,Monthly statement,https://portal.example.com/7954,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00103,2026-09-08 15:12:37,murorua,no-reply@microsoft.com,Password expiry notice,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00104,2026-09-08 15:16:23,nghifindaka,no-reply@microsoft.com,Password expiry notice,https://portal.example.com/7483,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00105,2026-09-08 15:39:59,sankwasa,billing@cloudservice.com,Monthly statement,https://portal.example.com/3959,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00106,2026-09-08 15:42:17,jkavari,no-reply@microsoft.com,Password expiry notice,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00107,2026-09-08 15:52:27,mukwambi,training@nust.na,Password expiry notice,https://portal.example.com/1322,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00108,2026-09-08 16:44:28,ndjaba,training@nust.na,Invoice available,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00109,2026-09-08 16:49:38,nduminga,no-reply@microsoft.com,Invoice available,,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00110,2026-09-08 17:23:57,sihuhua,statements@banking-partner.na,Security awareness reminder,https://portal.example.com/6142,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00111,2026-09-08 17:41:32,ntinda,training@nust.na,Service notification,https://portal.example.com/8550,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00112,2026-09-08 17:42:40,tshivute,alerts@vendor.com,Password expiry notice,https://portal.example.com/5822,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00113,2026-09-08 17:48:15,nghifindaka,statements@banking-partner.na,Password expiry notice,https://portal.example.com/6036,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00114,2026-09-08 17:51:32,amupanda,procurement@supplier.na,Security awareness reminder,https://portal.example.com/8310,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00115,2026-09-08 18:00:12,ndjaba,no-reply@microsoft.com,Invoice available,https://portal.example.com/1398,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00116,2026-09-08 18:02:27,nnakale,no-reply@microsoft.com,Industry newsletter,https://portal.example.com/3681,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00117,2026-09-08 18:04:34,amupanda,billing@cloudservice.com,Industry newsletter,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00118,2026-09-09 07:13:23,pnakale,procurement@supplier.na,Password expiry notice,https://portal.example.com/2456,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00119,2026-09-09 07:14:40,sihuhua,training@nust.na,Purchase order update,https://portal.example.com/2934,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00120,2026-09-09 07:18:25,murorua,training@nust.na,Monthly statement,https://portal.example.com/3693,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00121,2026-09-09 07:32:07,amupanda,no-reply@microsoft.com,Security awareness reminder,https://portal.example.com/6500,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00122,2026-09-09 07:32:16,kndjavera,newsletter@industry.org,Password expiry notice,https://portal.example.com/7440,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00123,2026-09-09 07:39:34,haufiku,no-reply@microsoft.com,Service notification,https://portal.example.com/4039,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00124,2026-09-09 08:24:36,nghifindaka,no-reply@microsoft.com,Invoice available,https://portal.example.com/4774,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00125,2026-09-09 08:26:16,mhaingura,billing@cloudservice.com,Invoice available,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00126,2026-09-09 08:27:55,amupanda,billing@cloudservice.com,Security awareness reminder,https://portal.example.com/5811,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00127,2026-09-09 09:04:10,sankwasa,procurement@supplier.na,Service notification,https://portal.example.com/6884,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00128,2026-09-09 09:16:21,ntinda,newsletter@industry.org,Monthly statement,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00129,2026-09-09 09:17:41,mhaingura,procurement@supplier.na,Security awareness reminder,https://portal.example.com/6210,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00130,2026-09-09 09:29:25,nduminga,billing@cloudservice.com,Security awareness reminder,https://portal.example.com/1920,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00131,2026-09-09 09:31:58,tshivute,billing@cloudservice.com,Invoice available,,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00132,2026-09-09 09:35:10,tkamati,statements@banking-partner.na,Invoice available,https://portal.example.com/5072,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00133,2026-09-09 09:42:12,tshivute,alerts@vendor.com,Industry newsletter,https://portal.example.com/8739,invoice.pdf,pass,pass,pass,known-good,QUARANTINE,Attachment heuristic
E00134,2026-09-09 10:16:58,haufiku,alerts@vendor.com,Purchase order update,https://portal.example.com/7620,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00135,2026-09-09 10:20:59,tjirera,training@nust.na,Security awareness reminder,https://portal.example.com/4195,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00136,2026-09-09 10:31:14,nghifindaka,billing@cloudservice.com,Monthly statement,https://portal.example.com/7754,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00137,2026-09-09 10:35:37,jkavari,billing@cloudservice.com,Service notification,https://portal.example.com/9215,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00138,2026-09-09 10:46:56,amupanda,newsletter@industry.org,Service notification,,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00139,2026-09-09 10:47:19,haufiku,statements@banking-partner.na,Invoice available,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00140,2026-09-09 10:58:20,tjirera,billing@cloudservice.com,Purchase order update,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00141,2026-09-09 11:23:55,hamukwaya,alerts@vendor.com,Purchase order update,https://portal.example.com/6163,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00142,2026-09-09 11:31:16,shilongo,alerts@vendor.com,Industry newsletter,https://portal.example.com/3790,policy.docx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00143,2026-09-09 11:34:36,haufiku,statements@banking-partner.na,Invoice available,https://portal.example.com/4300,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00144,2026-09-09 11:46:09,katjiuongua,billing@cloudservice.com,Security awareness reminder,https://portal.example.com/8726,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00145,2026-09-09 11:48:27,sihuhua,statements@banking-partner.na,Invoice available,https://portal.example.com/4218,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00146,2026-09-09 11:55:29,sankwasa,newsletter@industry.org,Monthly statement,,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00147,2026-09-09 12:02:49,katjiuongua,statements@banking-partner.na,Monthly statement,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00148,2026-09-09 12:40:34,tshivute,procurement@supplier.na,Service notification,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00149,2026-09-09 12:41:54,ntinda,alerts@vendor.com,Password expiry notice,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00150,2026-09-09 12:42:16,mhaingura,procurement@supplier.na,Invoice available,https://portal.example.com/1184,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00151,2026-09-09 13:20:14,sankwasa,procurement@supplier.na,Security awareness reminder,https://portal.example.com/9523,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00152,2026-09-09 13:20:30,ndjaba,billing@cloudservice.com,Purchase order update,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00153,2026-09-09 13:25:31,hamukwaya,statements@banking-partner.na,Service notification,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00154,2026-09-09 13:29:18,kndjavera,alerts@vendor.com,Invoice available,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00155,2026-09-09 13:53:38,nduminga,statements@banking-partner.na,Invoice available,https://portal.example.com/4919,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00156,2026-09-09 14:11:16,sihuhua,billing@cloudservice.com,Security awareness reminder,https://portal.example.com/2149,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00157,2026-09-09 14:21:14,sihuhua,procurement@supplier.na,Invoice available,,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00158,2026-09-09 14:46:24,amupanda,procurement@supplier.na,Service notification,https://portal.example.com/2751,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00159,2026-09-09 14:46:56,nghifindaka,statements@banking-partner.na,Invoice available,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00160,2026-09-09 14:53:52,nduminga,billing@cloudservice.com,Security awareness reminder,https://portal.example.com/4959,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00161,2026-09-09 14:57:10,sihuhua,procurement@supplier.na,Invoice available,https://portal.example.com/8922,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00162,2026-09-09 15:17:28,mbandeka,training@nust.na,Monthly statement,https://portal.example.com/3770,invoice.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00163,2026-09-09 16:06:03,nambala,billing@cloudservice.com,Monthly statement,https://portal.example.com/4555,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00164,2026-09-09 16:17:40,shapaka,training@nust.na,Security awareness reminder,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00165,2026-09-09 16:38:52,tkamati,newsletter@industry.org,Industry newsletter,https://portal.example.com/8776,statement.pdf,pass,pass,pass,known-good,QUARANTINE,Attachment heuristic
E00166,2026-09-09 16:47:34,nghifindaka,procurement@supplier.na,Password expiry notice,https://portal.example.com/1855,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00167,2026-09-09 16:48:16,haufiku,no-reply@microsoft.com,Purchase order update,https://portal.example.com/8044,,pass,pass,pass,known-good,QUARANTINE,Attachment heuristic
E00168,2026-09-09 16:51:33,mukwambi,procurement@supplier.na,Service notification,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00169,2026-09-09 17:03:37,shilongo,no-reply@microsoft.com,Monthly statement,https://portal.example.com/9001,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00170,2026-09-09 17:08:06,nambala,training@nust.na,Industry newsletter,https://portal.example.com/3418,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00171,2026-09-09 17:14:47,tshivute,statements@banking-partner.na,Industry newsletter,https://portal.example.com/1997,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00172,2026-09-09 17:29:09,tjirera,alerts@vendor.com,Purchase order update,https://portal.example.com/8864,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00173,2026-09-09 17:36:59,pnakale,billing@cloudservice.com,Security awareness reminder,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00174,2026-09-09 17:42:04,murorua,alerts@vendor.com,Monthly statement,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00175,2026-09-09 17:47:44,mbandeka,statements@banking-partner.na,Monthly statement,https://portal.example.com/9706,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00176,2026-09-09 17:57:59,haufiku,procurement@supplier.na,Purchase order update,,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00177,2026-09-09 18:00:17,nambala,statements@banking-partner.na,Purchase order update,https://portal.example.com/1126,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00178,2026-09-09 18:34:57,mhaingura,alerts@vendor.com,Invoice available,https://portal.example.com/7548,,pass,pass,pass,known-good,ALLOW,Clean reputation
