event_id,timestamp,user_id,source_ip,country,city,device_id,result,mfa_result,client_version
V00039,2026-09-07 16:18:48,ndjaba,197.188.216.19,NA,Ondangwa,CORP-WKST-OND-004,SUCCESS,APPROVED,7.2.4
V00040,2026-09-07 16:28:59,nduminga,197.188.152.76,NA,Swakopmund,CORP-WKST-SWK-002,SUCCESS,APPROVED,7.2.4
V00041,2026-09-07 16:30:46,kndjavera,197.188.172.39,NA,Windhoek,CORP-WKST-CMP-009,SUCCESS,APPROVED,7.2.4
V00042,2026-09-07 16:34:48,nduminga,197.188.199.108,NA,Swakopmund,CORP-WKST-SWK-002,SUCCESS,APPROVED,7.2.4
V00043,2026-09-07 17:51:23,haufiku,197.188.227.198,NA,Windhoek,CORP-WKST-SOC-003,SUCCESS,APPROVED,7.2.4
V00044,2026-09-07 18:08:08,nnakale,197.188.22.140,NA,Windhoek,CORP-WKST-CS-006,SUCCESS,APPROVED,7.2.4
V00045,2026-09-07 18:33:54,sankwasa,197.188.185.161,NA,Windhoek,CORP-WKST-PRC-008,SUCCESS,APPROVED,7.2.4
V00046,2026-09-07 18:56:56,shapaka,197.188.34.11,NA,Windhoek,CORP-WKST-EXE-002,SUCCESS,APPROVED,7.2.4
V00047,2026-09-07 19:07:50,amupanda,197.188.224.204,NA,Windhoek,CORP-WKST-CMP-003,SUCCESS,APPROVED,7.2.4
V00048,2026-09-07 19:40:45,mukwambi,197.188.73.165,NA,Windhoek,CORP-WKST-HR-014,SUCCESS,APPROVED,7.2.4
V00049,2026-09-07 20:14:25,jkavari,197.188.35.166,NA,Windhoek,CORP-WKST-FIN-021,SUCCESS,APPROVED,7.2.4
V00050,2026-09-07 20:48:01,ntinda,197.188.9.202,NA,Windhoek,CORP-WKST-MKT-010,SUCCESS,APPROVED,7.2.4
V00051,2026-09-07 21:19:46,katjiuongua,197.188.30.2,NA,Windhoek,CORP-WKST-IT-012,FAILURE,TIMEOUT,7.2.4
V00052,2026-09-07 22:40:39,pnakale,197.188.189.177,NA,Windhoek,CORP-WKST-HR-002,SUCCESS,APPROVED,7.2.4
V00053,2026-09-08 05:41:37,ndjaba,197.188.185.53,NA,Ondangwa,CORP-WKST-OND-004,SUCCESS,APPROVED,7.2.4
V00054,2026-09-08 06:24:48,ndjaba,197.188.79.197,NA,Ondangwa,CORP-WKST-OND-004,SUCCESS,APPROVED,7.2.4
V00055,2026-09-08 06:41:39,nnakale,197.188.47.164,NA,Windhoek,CORP-WKST-CS-006,SUCCESS,APPROVED,7.2.4
V00056,2026-09-08 06:50:16,katjiuongua,197.188.228.84,NA,Windhoek,CORP-WKST-IT-012,SUCCESS,APPROVED,7.2.4
V00057,2026-09-08 06:57:53,nduminga,197.188.101.104,NA,Swakopmund,CORP-WKST-SWK-002,SUCCESS,APPROVED,7.2.4
V00058,2026-09-08 07:10:20,tshivute,197.188.137.227,NA,Windhoek,CORP-WKST-FIN-004,SUCCESS,APPROVED,7.2.4
V00059,2026-09-08 07:14:24,sankwasa,197.188.144.229,NA,Windhoek,CORP-WKST-PRC-008,SUCCESS,APPROVED,7.2.4
V00060,2026-09-08 07:25:58,jkavari,197.188.192.185,NA,Windhoek,CORP-WKST-FIN-021,SUCCESS,APPROVED,7.2.4
V00061,2026-09-08 07:34:54,katjiuongua,197.188.28.211,NA,Windhoek,CORP-WKST-IT-012,SUCCESS,APPROVED,7.2.4
V00062,2026-09-08 07:45:20,shilongo,197.188.5.99,NA,Windhoek,CORP-WKST-LOAN-018,SUCCESS,APPROVED,7.2.4
V00063,2026-09-08 08:49:22,mbandeka,197.188.102.116,NA,Windhoek,CORP-WKST-LGL-005,SUCCESS,APPROVED,7.2.4
V00064,2026-09-08 09:09:39,mukwambi,197.188.99.173,NA,Windhoek,CORP-WKST-HR-014,SUCCESS,APPROVED,7.2.4
V00065,2026-09-08 09:19:43,hamukwaya,197.188.106.55,NA,Windhoek,CORP-WKST-TRY-007,FAILURE,TIMEOUT,7.2.4
V00066,2026-09-08 09:49:24,shapaka,197.188.55.84,NA,Windhoek,CORP-WKST-EXE-002,SUCCESS,APPROVED,7.2.4
V00067,2026-09-08 10:26:22,mbandeka,197.188.198.191,NA,Windhoek,CORP-WKST-LGL-005,SUCCESS,APPROVED,7.2.4
V00068,2026-09-08 11:00:40,shilongo,197.188.176.172,NA,Windhoek,CORP-WKST-LOAN-018,SUCCESS,APPROVED,7.2.4
V00069,2026-09-08 11:05:16,tjirera,197.188.219.10,NA,Windhoek,CORP-WKST-AUD-004,SUCCESS,APPROVED,7.2.4
V00070,2026-09-08 11:05:38,sihuhua,197.188.64.78,NA,Swakopmund,CORP-WKST-SWK-008,SUCCESS,APPROVED,7.2.4
V00071,2026-09-08 11:51:53,tjirera,197.188.127.186,NA,Windhoek,CORP-WKST-AUD-004,SUCCESS,APPROVED,7.2.4
V00072,2026-09-08 12:47:36,tkamati,197.188.224.21,NA,Windhoek,CORP-WKST-CS-011,SUCCESS,APPROVED,7.2.4
V00073,2026-09-08 13:03:51,tshivute,197.188.125.79,NA,Windhoek,CORP-WKST-FIN-004,FAILURE,DENIED,7.2.4
V00074,2026-09-08 13:35:19,nnakale,197.188.121.89,NA,Windhoek,CORP-WKST-CS-006,SUCCESS,APPROVED,7.2.4
V00075,2026-09-08 14:09:19,nduminga,197.188.188.82,NA,Swakopmund,CORP-WKST-SWK-002,SUCCESS,APPROVED,7.2.4
V00076,2026-09-08 14:19:17,ndjaba,197.188.195.112,NA,Ondangwa,CORP-WKST-OND-004,SUCCESS,APPROVED,7.2.4
V00077,2026-09-08 14:36:33,nambala,197.188.10.108,NA,Swakopmund,CORP-WKST-SWK-012,SUCCESS,APPROVED,7.2.4
V00078,2026-09-08 15:41:07,mhaingura,197.188.148.48,NA,Windhoek,CORP-WKST-CS-017,SUCCESS,APPROVED,7.2.4
V00079,2026-09-08 15:51:23,sihuhua,197.188.15.21,NA,Swakopmund,CORP-WKST-SWK-008,SUCCESS,APPROVED,7.2.4
V00080,2026-09-08 15:53:40,tkamati,197.188.10.33,NA,Windhoek,CORP-WKST-CS-011,SUCCESS,APPROVED,7.2.4
V00081,2026-09-08 16:18:59,mbandeka,197.188.7.117,NA,Windhoek,CORP-WKST-LGL-005,SUCCESS,APPROVED,7.2.4
V00082,2026-09-08 16:31:07,sihuhua,197.188.164.106,NA,Swakopmund,CORP-WKST-SWK-008,SUCCESS,APPROVED,7.2.4
V00083,2026-09-08 16:36:35,nduminga,197.188.104.54,NA,Swakopmund,CORP-WKST-SWK-002,SUCCESS,APPROVED,7.2.4
V00084,2026-09-08 16:38:17,amupanda,197.188.117.189,NA,Windhoek,CORP-WKST-CMP-003,SUCCESS,APPROVED,7.2.4
V00085,2026-09-08 16:45:10,haufiku,197.188.217.81,NA,Windhoek,CORP-WKST-SOC-003,SUCCESS,APPROVED,7.2.4
V00086,2026-09-08 16:47:32,tkamati,197.188.193.92,NA,Windhoek,CORP-WKST-CS-011,SUCCESS,APPROVED,7.2.4
V00087,2026-09-08 17:16:41,jkavari,197.188.217.22,NA,Windhoek,CORP-WKST-FIN-021,SUCCESS,APPROVED,7.2.4
V00088,2026-09-08 18:05:59,sihuhua,197.188.122.90,NA,Swakopmund,CORP-WKST-SWK-008,SUCCESS,APPROVED,7.2.4
V00089,2026-09-08 19:11:29,mbandeka,197.188.151.212,NA,Windhoek,CORP-WKST-LGL-005,SUCCESS,APPROVED,7.2.4
V00090,2026-09-08 19:37:09,jkavari,197.188.215.135,NA,Windhoek,CORP-WKST-FIN-021,FAILURE,TIMEOUT,7.2.4
V00091,2026-09-08 19:47:15,nnakale,197.188.99.66,NA,Windhoek,CORP-WKST-CS-006,SUCCESS,APPROVED,7.2.4
V00092,2026-09-08 19:55:33,tkamati,197.188.98.74,NA,Windhoek,CORP-WKST-CS-011,SUCCESS,APPROVED,7.2.4
V00093,2026-09-08 19:56:37,katjiuongua,197.188.20.141,NA,Windhoek,CORP-WKST-IT-012,SUCCESS,APPROVED,7.2.4
V00094,2026-09-08 20:16:07,pnakale,197.188.152.39,NA,Windhoek,CORP-WKST-HR-002,FAILURE,TIMEOUT,7.2.4
V00095,2026-09-08 20:37:09,nghifindaka,197.188.25.161,NA,Windhoek,CORP-WKST-IT-005,SUCCESS,APPROVED,7.2.4
V00096,2026-09-08 21:17:54,katjiuongua,197.188.63.129,NA,Windhoek,CORP-WKST-IT-012,SUCCESS,APPROVED,7.2.4
V00097,2026-09-08 21:40:55,sankwasa,197.188.190.3,NA,Windhoek,CORP-WKST-PRC-008,SUCCESS,APPROVED,7.2.4
V00098,2026-09-08 21:50:52,ntinda,197.188.88.197,NA,Windhoek,CORP-WKST-MKT-010,SUCCESS,APPROVED,7.2.4
V00099,2026-09-08 21:52:31,sankwasa,197.188.88.31,NA,Windhoek,CORP-WKST-PRC-008,SUCCESS,APPROVED,7.2.4
V00100,2026-09-09 06:27:09,shapaka,197.188.184.46,NA,Windhoek,CORP-WKST-EXE-002,SUCCESS,APPROVED,7.2.4
V00101,2026-09-09 06:56:11,haufiku,197.188.109.119,NA,Windhoek,CORP-WKST-SOC-003,SUCCESS,APPROVED,7.2.4
V00102,2026-09-09 07:52:25,sihuhua,197.188.169.153,NA,Swakopmund,CORP-WKST-SWK-008,SUCCESS,APPROVED,7.2.4
V00103,2026-09-09 08:50:11,pnakale,197.188.62.229,NA,Windhoek,CORP-WKST-HR-002,FAILURE,TIMEOUT,7.2.4
V00104,2026-09-09 08:56:54,tkamati,197.188.24.194,NA,Windhoek,CORP-WKST-CS-011,SUCCESS,APPROVED,7.2.4
V00105,2026-09-09 08:57:36,amupanda,197.188.225.143,NA,Windhoek,CORP-WKST-CMP-003,SUCCESS,APPROVED,7.2.4
V00106,2026-09-09 09:11:09,ndjaba,197.188.143.137,NA,Ondangwa,CORP-WKST-OND-004,SUCCESS,APPROVED,7.2.4
V00107,2026-09-09 09:36:52,mbandeka,197.188.6.207,NA,Windhoek,CORP-WKST-LGL-005,SUCCESS,APPROVED,7.2.4
V00108,2026-09-09 09:37:06,ndjaba,197.188.36.112,NA,Ondangwa,CORP-WKST-OND-004,SUCCESS,APPROVED,7.2.4
V00109,2026-09-09 09:51:55,haufiku,197.188.11.12,NA,Windhoek,CORP-WKST-SOC-003,SUCCESS,APPROVED,7.2.4
V00110,2026-09-09 10:11:25,jkavari,197.188.211.206,NA,Windhoek,CORP-WKST-FIN-021,FAILURE,TIMEOUT,7.2.4
V00111,2026-09-09 10:31:08,mbandeka,197.188.52.48,NA,Windhoek,CORP-WKST-LGL-005,SUCCESS,APPROVED,7.2.4
V00112,2026-09-09 10:42:09,tshivute,197.188.36.4,NA,Windhoek,CORP-WKST-FIN-004,SUCCESS,APPROVED,7.2.4
V00113,2026-09-09 10:44:59,tshivute,197.188.11.186,NA,Windhoek,CORP-WKST-FIN-004,SUCCESS,APPROVED,7.2.4
V00114,2026-09-09 10:49:57,sihuhua,197.188.75.191,NA,Swakopmund,CORP-WKST-SWK-008,FAILURE,TIMEOUT,7.2.4
V00115,2026-09-09 11:15:39,shilongo,197.188.60.118,NA,Windhoek,CORP-WKST-LOAN-018,SUCCESS,APPROVED,7.2.4
V00116,2026-09-09 11:25:47,tjirera,197.188.221.200,NA,Windhoek,CORP-WKST-AUD-004,SUCCESS,APPROVED,7.2.4
V00117,2026-09-09 11:34:54,nambala,197.188.115.8,NA,Swakopmund,CORP-WKST-SWK-012,SUCCESS,APPROVED,7.2.4
V00118,2026-09-09 11:52:49,nduminga,197.188.198.214,NA,Swakopmund,CORP-WKST-SWK-002,SUCCESS,APPROVED,7.2.4
V00119,2026-09-09 12:26:16,sihuhua,197.188.31.59,NA,Swakopmund,CORP-WKST-SWK-008,SUCCESS,APPROVED,7.2.4
V00120,2026-09-09 12:42:22,shilongo,197.188.161.9,NA,Windhoek,CORP-WKST-LOAN-018,SUCCESS,APPROVED,7.2.4
V00121,2026-09-09 12:51:23,sankwasa,197.188.172.170,NA,Windhoek,CORP-WKST-PRC-008,SUCCESS,APPROVED,7.2.4
V00122,2026-09-09 13:00:00,ndjaba,197.188.103.203,NA,Ondangwa,CORP-WKST-OND-004,SUCCESS,APPROVED,7.2.4
V00123,2026-09-09 13:47:31,mhaingura,197.188.138.35,NA,Windhoek,CORP-WKST-CS-017,SUCCESS,APPROVED,7.2.4
V00124,2026-09-09 13:49:58,sihuhua,197.188.200.17,NA,Swakopmund,CORP-WKST-SWK-008,SUCCESS,APPROVED,7.2.4
V00125,2026-09-09 14:09:29,ntinda,197.188.157.9,NA,Windhoek,CORP-WKST-MKT-010,SUCCESS,APPROVED,7.2.4
V00126,2026-09-09 14:09:43,mhaingura,197.188.31.79,NA,Windhoek,CORP-WKST-CS-017,SUCCESS,APPROVED,7.2.4
V00127,2026-09-09 14:23:43,tshivute,197.188.95.119,NA,Windhoek,CORP-WKST-FIN-004,SUCCESS,APPROVED,7.2.4
V00128,2026-09-09 14:34:53,amupanda,197.188.144.72,NA,Windhoek,CORP-WKST-CMP-003,SUCCESS,APPROVED,7.2.4
V00129,2026-09-09 14:37:39,pnakale,197.188.164.144,NA,Windhoek,CORP-WKST-HR-002,SUCCESS,APPROVED,7.2.4
V00130,2026-09-09 15:13:32,tkamati,197.188.202.83,NA,Windhoek,CORP-WKST-CS-011,SUCCESS,APPROVED,7.2.4
V00131,2026-09-09 15:27:36,ntinda,197.188.6.206,NA,Windhoek,CORP-WKST-MKT-010,SUCCESS,APPROVED,7.2.4
V00132,2026-09-09 15:36:06,ntinda,197.188.57.80,NA,Windhoek,CORP-WKST-MKT-010,SUCCESS,APPROVED,7.2.4
V00133,2026-09-09 15:36:20,haufiku,197.188.26.58,NA,Windhoek,CORP-WKST-SOC-003,SUCCESS,APPROVED,7.2.4
V00134,2026-09-09 16:04:35,murorua,197.188.111.109,NA,Windhoek,CORP-WKST-RSK-006,SUCCESS,APPROVED,7.2.4
V00135,2026-09-09 16:39:59,pnakale,197.188.225.50,NA,Windhoek,CORP-WKST-HR-002,SUCCESS,APPROVED,7.2.4
V00136,2026-09-09 18:01:47,kndjavera,197.188.25.113,NA,Windhoek,CORP-WKST-CMP-009,SUCCESS,APPROVED,7.2.4
V00137,2026-09-09 18:06:18,nghifindaka,197.188.81.139,NA,Windhoek,CORP-WKST-IT-005,SUCCESS,APPROVED,7.2.4
V00138,2026-09-09 18:34:32,shilongo,197.188.40.145,NA,Windhoek,CORP-WKST-LOAN-018,SUCCESS,APPROVED,7.2.4
V00139,2026-09-09 18:57:09,kndjavera,197.188.189.53,NA,Windhoek,CORP-WKST-CMP-009,SUCCESS,APPROVED,7.2.4
V00140,2026-09-09 19:01:10,sihuhua,197.188.95.156,NA,Swakopmund,CORP-WKST-SWK-008,SUCCESS,APPROVED,7.2.4
V00141,2026-09-09 19:15:02,pnakale,197.188.152.80,NA,Windhoek,CORP-WKST-HR-002,SUCCESS,APPROVED,7.2.4
V00142,2026-09-09 19:20:17,amupanda,197.188.215.30,NA,Windhoek,CORP-WKST-CMP-003,SUCCESS,APPROVED,7.2.4
V00143,2026-09-09 19:38:21,shilongo,197.188.120.211,NA,Windhoek,CORP-WKST-LOAN-018,SUCCESS,APPROVED,7.2.4
V00144,2026-09-09 19:43:53,murorua,197.188.216.35,NA,Windhoek,CORP-WKST-RSK-006,SUCCESS,APPROVED,7.2.4
V00145,2026-09-09 19:53:20,mhaingura,197.188.226.13,NA,Windhoek,CORP-WKST-CS-017,SUCCESS,APPROVED,7.2.4
V00146,2026-09-09 19:57:30,sihuhua,197.188.64.112,NA,Swakopmund,CORP-WKST-SWK-008,SUCCESS,APPROVED,7.2.4
V00147,2026-09-09 20:11:56,sankwasa,197.188.89.97,NA,Windhoek,CORP-WKST-PRC-008,FAILURE,NOT_SENT,7.2.4
V00148,2026-09-09 20:23:46,nambala,197.188.53.106,NA,Swakopmund,CORP-WKST-SWK-012,SUCCESS,APPROVED,7.2.4
V00149,2026-09-09 20:29:48,tshivute,197.188.157.101,NA,Windhoek,CORP-WKST-FIN-004,SUCCESS,APPROVED,7.2.4
V00150,2026-09-09 20:31:56,tkamati,197.188.102.1,NA,Windhoek,CORP-WKST-CS-011,SUCCESS,APPROVED,7.2.4
V00151,2026-09-09 21:09:08,ntinda,197.188.88.1,NA,Windhoek,CORP-WKST-MKT-010,SUCCESS,APPROVED,7.2.4
V00152,2026-09-10 06:48:31,nduminga,197.188.127.21,NA,Swakopmund,CORP-WKST-SWK-002,FAILURE,DENIED,7.2.4
V00153,2026-09-10 07:19:43,mbandeka,197.188.53.139,NA,Windhoek,CORP-WKST-LGL-005,SUCCESS,APPROVED,7.2.4
V00154,2026-09-10 08:01:02,mukwambi,197.188.178.95,NA,Windhoek,CORP-WKST-HR-014,SUCCESS,APPROVED,7.2.4
V00155,2026-09-10 08:09:43,nghifindaka,197.188.133.165,NA,Windhoek,CORP-WKST-IT-005,SUCCESS,APPROVED,7.2.4
V00156,2026-09-10 08:09:54,nghifindaka,197.188.208.104,NA,Windhoek,CORP-WKST-IT-005,SUCCESS,APPROVED,7.2.4
V00157,2026-09-10 09:14:19,jkavari,197.188.36.198,NA,Windhoek,CORP-WKST-FIN-021,SUCCESS,APPROVED,7.2.4
V00158,2026-09-10 09:22:06,ndjaba,197.188.58.103,NA,Ondangwa,CORP-WKST-OND-004,SUCCESS,APPROVED,7.2.4
V00159,2026-09-10 09:35:16,mhaingura,197.188.228.169,NA,Windhoek,CORP-WKST-CS-017,FAILURE,TIMEOUT,7.2.4
V00160,2026-09-10 09:41:00,nambala,197.188.178.63,NA,Swakopmund,CORP-WKST-SWK-012,SUCCESS,APPROVED,7.2.4
V00161,2026-09-10 09:53:48,nambala,197.188.29.38,NA,Swakopmund,CORP-WKST-SWK-012,SUCCESS,APPROVED,7.2.4
V00162,2026-09-10 09:54:14,tshivute,197.188.78.51,NA,Windhoek,CORP-WKST-FIN-004,SUCCESS,APPROVED,7.2.4
V00163,2026-09-10 10:43:47,nambala,197.188.26.99,NA,Swakopmund,CORP-WKST-SWK-012,SUCCESS,APPROVED,7.2.4
V00164,2026-09-10 10:51:53,pnakale,197.188.5.29,NA,Windhoek,CORP-WKST-HR-002,SUCCESS,APPROVED,7.2.4
V00165,2026-09-10 10:59:16,hamukwaya,197.188.134.99,NA,Windhoek,CORP-WKST-TRY-007,SUCCESS,APPROVED,7.2.4
V00166,2026-09-10 11:07:01,nambala,197.188.141.130,NA,Swakopmund,CORP-WKST-SWK-012,SUCCESS,APPROVED,7.2.4
V00167,2026-09-10 11:47:39,hamukwaya,197.188.112.75,NA,Windhoek,CORP-WKST-TRY-007,SUCCESS,APPROVED,7.2.4
V00168,2026-09-10 12:12:33,mukwambi,197.188.40.206,NA,Windhoek,CORP-WKST-HR-014,SUCCESS,APPROVED,7.2.4
V00169,2026-09-10 12:25:48,jkavari,197.188.104.191,NA,Windhoek,CORP-WKST-FIN-021,SUCCESS,APPROVED,7.2.4
V00170,2026-09-10 13:21:15,ntinda,197.188.46.28,NA,Windhoek,CORP-WKST-MKT-010,SUCCESS,APPROVED,7.2.4
V00171,2026-09-10 14:02:06,nnakale,197.188.205.189,NA,Windhoek,CORP-WKST-CS-006,SUCCESS,APPROVED,7.2.4
V00172,2026-09-10 14:54:31,murorua,197.188.204.91,NA,Windhoek,CORP-WKST-RSK-006,SUCCESS,APPROVED,7.2.4
V00173,2026-09-10 14:55:25,kndjavera,197.188.78.145,NA,Windhoek,CORP-WKST-CMP-009,SUCCESS,APPROVED,7.2.4
V00174,2026-09-10 14:56:41,kndjavera,197.188.139.98,NA,Windhoek,CORP-WKST-CMP-009,SUCCESS,APPROVED,7.2.4
V00175,2026-09-10 17:39:56,nnakale,197.188.52.208,NA,Windhoek,CORP-WKST-CS-006,SUCCESS,APPROVED,7.2.4
V00176,2026-09-10 17:59:52,shilongo,197.188.1.117,NA,Windhoek,CORP-WKST-LOAN-018,SUCCESS,APPROVED,7.2.4
V00177,2026-09-10 18:19:07,amupanda,197.188.41.122,NA,Windhoek,CORP-WKST-CMP-003,SUCCESS,APPROVED,7.2.4
V00178,2026-09-10 18:50:58,tshivute,197.188.35.12,NA,Windhoek,CORP-WKST-FIN-004,SUCCESS,APPROVED,7.2.4
V00179,2026-09-10 18:55:17,katjiuongua,197.188.33.95,NA,Windhoek,CORP-WKST-IT-012,SUCCESS,APPROVED,7.2.4
V00180,2026-09-10 19:08:07,murorua,197.188.142.5,NA,Windhoek,CORP-WKST-RSK-006,SUCCESS,APPROVED,7.2.4
V00181,2026-09-10 19:16:37,sankwasa,197.188.145.135,NA,Windhoek,CORP-WKST-PRC-008,SUCCESS,APPROVED,7.2.4
V00182,2026-09-10 21:18:18,tshivute,197.188.49.123,NA,Windhoek,CORP-WKST-FIN-004,SUCCESS,APPROVED,7.2.4
V00183,2026-09-10 21:45:06,tkamati,197.188.187.97,NA,Windhoek,CORP-WKST-CS-011,SUCCESS,APPROVED,7.2.4
V00184,2026-09-10 21:57:26,kndjavera,197.188.77.191,NA,Windhoek,CORP-WKST-CMP-009,SUCCESS,APPROVED,7.2.4
V00185,2026-09-10 22:06:53,amupanda,197.188.127.41,NA,Windhoek,CORP-WKST-CMP-003,SUCCESS,APPROVED,7.2.4
V00186,2026-09-10 22:43:08,ndjaba,197.188.204.155,NA,Ondangwa,CORP-WKST-OND-004,SUCCESS,APPROVED,7.2.4
V00187,2026-09-10 22:55:29,katjiuongua,197.188.26.222,NA,Windhoek,CORP-WKST-IT-012,SUCCESS,APPROVED,7.2.4
V00188,2026-09-11 06:22:03,pnakale,197.188.25.35,NA,Windhoek,CORP-WKST-HR-002,SUCCESS,APPROVED,7.2.4
V00189,2026-09-11 06:38:17,shilongo,197.188.193.113,NA,Windhoek,CORP-WKST-LOAN-018,SUCCESS,APPROVED,7.2.4
V00190,2026-09-11 07:55:39,kndjavera,197.188.112.22,NA,Windhoek,CORP-WKST-CMP-009,SUCCESS,APPROVED,7.2.4
V00191,2026-09-11 09:00:20,amupanda,197.188.35.140,NA,Windhoek,CORP-WKST-CMP-003,SUCCESS,APPROVED,7.2.4
V00192,2026-09-11 09:03:38,tshivute,197.188.200.207,NA,Windhoek,CORP-WKST-FIN-004,SUCCESS,APPROVED,7.2.4
