event_id,timestamp,user_id,source_asset,destination_domain,destination_ip,method,bytes_out,category,dlp_rule,action,file_name
D00017,2026-09-07 08:36:31,amupanda,WKST-CMP-003,dropbox.com,102.134.158.15,GET,3060,Cloud Storage,NONE,ALLOW,
D00018,2026-09-07 08:58:56,shilongo,WKST-LOAN-018,bankofnamibia.org.na,45.83.100.40,GET,13971,Business,NONE,ALLOW,
D00019,2026-09-07 09:10:40,hamukwaya,WKST-TRY-007,office.com,104.21.251.216,POST,16641,Business,NONE,ALLOW,
D00020,2026-09-07 09:54:41,murorua,WKST-RSK-006,zoom.us,197.188.192.79,GET,34902,Business,NONE,ALLOW,
D00021,2026-09-07 10:00:56,shapaka,WKST-EXE-002,office.com,196.44.128.185,POST,71778,Business,NONE,ALLOW,
D00022,2026-09-07 10:04:03,pnakale,WKST-HR-002,microsoft.com,41.182.224.21,CONNECT,214913,Business,NONE,ALLOW,
D00023,2026-09-07 10:15:42,haufiku,WKST-SOC-003,dropbox.com,104.21.180.154,POST,19030,Cloud Storage,NONE,ALLOW,
D00024,2026-09-07 10:29:15,nnakale,WKST-CS-006,zoom.us,102.134.40.55,CONNECT,17103,Business,NONE,ALLOW,
D00025,2026-09-07 10:34:51,ndjaba,WKST-OND-004,office.com,197.188.75.48,GET,181605,Business,NONE,ALLOW,
D00026,2026-09-07 10:45:18,haufiku,WKST-SOC-003,google.com,41.182.56.19,GET,10695,Business,NONE,ALLOW,
D00027,2026-09-07 10:55:26,ntinda,WKST-MKT-010,nust.na,104.21.227.239,CONNECT,42902,Business,NONE,ALLOW,
D00028,2026-09-07 10:56:22,amupanda,WKST-CMP-003,salesforce.com,185.44.211.77,POST,10632,Business,NONE,ALLOW,
D00029,2026-09-07 11:32:15,nambala,WKST-SWK-012,nust.na,41.182.234.106,CONNECT,59160,Business,NONE,ALLOW,
D00030,2026-09-07 11:46:26,sihuhua,WKST-SWK-008,bankofnamibia.org.na,45.83.227.38,POST,95207,Business,NONE,ALLOW,
D00031,2026-09-07 11:56:31,haufiku,WKST-SOC-003,office.com,41.182.1.97,GET,55239,Business,NONE,ALLOW,
D00032,2026-09-07 12:04:33,mhaingura,WKST-CS-017,dropbox.com,197.188.132.248,GET,39249,Cloud Storage,NONE,ALLOW,
D00033,2026-09-07 12:20:29,jkavari,WKST-FIN-021,office.com,41.182.232.137,POST,41720,Business,NONE,ALLOW,
D00034,2026-09-07 12:34:55,nnakale,WKST-CS-006,github.com,102.134.94.121,GET,9280,Cloud Storage,NONE,ALLOW,
D00035,2026-09-07 12:53:20,katjiuongua,WKST-IT-012,office.com,197.188.60.36,GET,23899,Business,NONE,ALLOW,
D00036,2026-09-07 13:07:27,sankwasa,WKST-PRC-008,github.com,196.44.148.70,POST,509634,Cloud Storage,NONE,ALLOW,
D00037,2026-09-07 13:22:47,nghifindaka,WKST-IT-005,zoom.us,197.188.68.66,GET,2794,Business,NONE,ALLOW,
D00038,2026-09-07 13:27:04,pnakale,WKST-HR-002,github.com,185.44.5.87,GET,21300,Cloud Storage,NONE,ALLOW,
D00039,2026-09-07 14:10:27,jkavari,WKST-FIN-021,google.com,45.83.70.140,CONNECT,49657,Business,NONE,ALLOW,
D00040,2026-09-07 14:12:52,sankwasa,WKST-PRC-008,zoom.us,196.44.101.189,POST,65873,Business,NONE,ALLOW,
D00041,2026-09-07 14:27:44,shapaka,WKST-EXE-002,salesforce.com,104.21.140.29,POST,8467,Business,NONE,ALLOW,
D00042,2026-09-07 14:31:45,sihuhua,WKST-SWK-008,dropbox.com,41.182.179.140,GET,49990,Cloud Storage,NONE,ALLOW,
D00043,2026-09-07 15:12:37,shapaka,WKST-EXE-002,salesforce.com,185.44.205.214,GET,6913,Business,NONE,ALLOW,
D00044,2026-09-07 15:14:34,mbandeka,WKST-LGL-005,office.com,102.134.236.30,CONNECT,38482,Business,NONE,ALLOW,
D00045,2026-09-07 15:20:36,kndjavera,WKST-CMP-009,salesforce.com,185.44.17.100,GET,36786,Business,NONE,ALLOW,
D00046,2026-09-07 15:20:48,tshivute,WKST-FIN-004,github.com,102.134.105.22,POST,55048,Cloud Storage,NONE,ALLOW,
D00047,2026-09-07 15:48:47,nduminga,WKST-SWK-002,microsoft.com,41.182.27.220,GET,7072,Business,NONE,ALLOW,
D00048,2026-09-07 15:48:56,ndjaba,WKST-OND-004,microsoft.com,197.188.141.209,GET,24923,Business,NONE,ALLOW,
D00049,2026-09-07 16:09:05,nduminga,WKST-SWK-002,salesforce.com,185.44.198.225,CONNECT,2470,Business,NONE,ALLOW,
D00050,2026-09-07 16:34:07,kndjavera,WKST-CMP-009,bankofnamibia.org.na,102.134.38.192,GET,229956,Business,NONE,ALLOW,
D00051,2026-09-07 16:34:23,nduminga,WKST-SWK-002,bankofnamibia.org.na,185.44.152.167,POST,64969,Business,NONE,ALLOW,
D00052,2026-09-07 17:05:33,ndjaba,WKST-OND-004,salesforce.com,197.188.129.11,CONNECT,13048,Business,NONE,ALLOW,
D00053,2026-09-07 17:36:06,hamukwaya,WKST-TRY-007,zoom.us,45.83.83.161,POST,18563,Business,NONE,ALLOW,
D00054,2026-09-07 17:55:49,murorua,WKST-RSK-006,dropbox.com,45.83.65.34,POST,3506,Cloud Storage,NONE,ALLOW,
D00055,2026-09-07 19:07:32,nduminga,WKST-SWK-002,salesforce.com,104.21.83.188,CONNECT,319035,Business,NONE,ALLOW,
D00056,2026-09-07 19:12:03,murorua,WKST-RSK-006,google.com,104.21.91.34,CONNECT,6411,Business,NONE,ALLOW,
D00057,2026-09-07 19:24:31,haufiku,WKST-SOC-003,office.com,41.182.140.176,GET,8319,Business,NONE,ALLOW,
D00058,2026-09-07 19:43:47,mukwambi,WKST-HR-014,salesforce.com,185.44.144.191,POST,8122,Business,NONE,ALLOW,
D00059,2026-09-07 20:02:38,nduminga,WKST-SWK-002,microsoft.com,102.134.191.21,CONNECT,8993,Business,NONE,ALLOW,
D00060,2026-09-07 20:35:17,tshivute,WKST-FIN-004,office.com,185.44.218.131,POST,21083,Business,NONE,ALLOW,
D00061,2026-09-07 20:36:26,ntinda,WKST-MKT-010,bankofnamibia.org.na,104.21.212.97,POST,421709,Business,NONE,ALLOW,
D00062,2026-09-08 06:01:57,katjiuongua,WKST-IT-012,zoom.us,41.182.218.247,POST,6193,Business,NONE,ALLOW,
D00063,2026-09-08 06:09:25,murorua,WKST-RSK-006,zoom.us,45.83.68.185,CONNECT,11111,Business,NONE,ALLOW,
D00064,2026-09-08 06:16:49,nduminga,WKST-SWK-002,bankofnamibia.org.na,102.134.107.174,POST,155213,Business,NONE,ALLOW,
D00065,2026-09-08 06:38:32,mbandeka,WKST-LGL-005,salesforce.com,41.182.165.144,POST,89280,Business,NONE,ALLOW,
D00066,2026-09-08 06:41:10,jkavari,WKST-FIN-021,salesforce.com,104.21.128.80,POST,31181,Business,NONE,ALLOW,
D00067,2026-09-08 07:40:47,kndjavera,WKST-CMP-009,github.com,197.188.9.42,GET,5646,Cloud Storage,NONE,ALLOW,
D00068,2026-09-08 07:47:51,haufiku,WKST-SOC-003,github.com,104.21.79.191,GET,70969,Cloud Storage,NONE,ALLOW,
D00069,2026-09-08 08:19:16,sankwasa,WKST-PRC-008,microsoft.com,197.188.47.227,GET,903585,Business,NONE,ALLOW,
D00070,2026-09-08 08:26:10,mukwambi,WKST-HR-014,bankofnamibia.org.na,41.182.169.227,GET,20385,Business,NONE,ALLOW,
D00071,2026-09-08 08:29:51,ndjaba,WKST-OND-004,nust.na,196.44.2.218,POST,52211,Business,NONE,ALLOW,
D00072,2026-09-08 08:36:31,nnakale,WKST-CS-006,microsoft.com,196.44.75.110,CONNECT,139541,Business,NONE,ALLOW,
D00073,2026-09-08 08:39:08,jkavari,WKST-FIN-021,github.com,45.83.15.253,CONNECT,144576,Cloud Storage,NONE,ALLOW,
D00074,2026-09-08 08:58:11,hamukwaya,WKST-TRY-007,bankofnamibia.org.na,196.44.32.221,GET,12017,Business,NONE,ALLOW,
D00075,2026-09-08 09:03:11,sihuhua,WKST-SWK-008,salesforce.com,45.83.96.13,POST,101607,Business,NONE,ALLOW,
D00076,2026-09-08 09:14:30,sihuhua,WKST-SWK-008,salesforce.com,41.182.32.220,POST,3166,Business,NONE,ALLOW,
D00077,2026-09-08 09:19:08,pnakale,WKST-HR-002,bankofnamibia.org.na,196.44.144.210,POST,11402,Business,NONE,ALLOW,
D00078,2026-09-08 09:36:59,nambala,WKST-SWK-012,google.com,41.182.201.212,GET,22677,Business,NONE,ALLOW,
D00079,2026-09-08 09:41:16,jkavari,WKST-FIN-021,nust.na,196.44.225.191,POST,64093,Business,NONE,ALLOW,
D00080,2026-09-08 09:58:56,haufiku,WKST-SOC-003,bankofnamibia.org.na,104.21.177.250,GET,7430,Business,NONE,ALLOW,
D00081,2026-09-08 10:38:00,amupanda,WKST-CMP-003,bankofnamibia.org.na,102.134.252.77,CONNECT,100806,Business,NONE,ALLOW,
D00082,2026-09-08 10:45:27,sankwasa,WKST-PRC-008,office.com,185.44.233.185,POST,570063,Business,NONE,ALLOW,
D00083,2026-09-08 11:02:03,ndjaba,WKST-OND-004,salesforce.com,45.83.117.226,POST,22744,Business,NONE,ALLOW,
D00084,2026-09-08 11:18:14,tjirera,WKST-AUD-004,microsoft.com,45.83.197.129,POST,417602,Business,NONE,ALLOW,
D00085,2026-09-08 11:23:21,haufiku,WKST-SOC-003,dropbox.com,102.134.30.48,CONNECT,167448,Cloud Storage,NONE,ALLOW,
D00086,2026-09-08 11:49:28,hamukwaya,WKST-TRY-007,zoom.us,102.134.144.236,GET,16872,Business,NONE,ALLOW,
D00087,2026-09-08 12:14:58,ndjaba,WKST-OND-004,bankofnamibia.org.na,196.44.147.74,POST,50283,Business,NONE,ALLOW,
D00088,2026-09-08 12:31:14,tjirera,WKST-AUD-004,bankofnamibia.org.na,45.83.4.62,CONNECT,7299,Business,NONE,ALLOW,
D00089,2026-09-08 12:41:08,tkamati,WKST-CS-011,dropbox.com,102.134.120.188,CONNECT,8117,Cloud Storage,NONE,ALLOW,
D00090,2026-09-08 13:28:30,nambala,WKST-SWK-012,office.com,104.21.250.188,CONNECT,75775,Business,NONE,ALLOW,
D00091,2026-09-08 13:51:07,hamukwaya,WKST-TRY-007,google.com,196.44.79.147,CONNECT,86187,Business,NONE,ALLOW,
D00092,2026-09-08 13:55:28,tkamati,WKST-CS-011,github.com,41.182.144.67,POST,8932,Cloud Storage,NONE,ALLOW,
D00093,2026-09-08 14:26:11,ntinda,WKST-MKT-010,google.com,45.83.113.48,POST,10468,Business,NONE,ALLOW,
D00094,2026-09-08 14:35:21,nnakale,WKST-CS-006,google.com,196.44.109.156,CONNECT,1614,Business,NONE,ALLOW,
D00095,2026-09-08 15:09:08,tjirera,WKST-AUD-004,microsoft.com,41.182.172.234,GET,15402,Business,NONE,ALLOW,
D00096,2026-09-08 15:09:34,sihuhua,WKST-SWK-008,microsoft.com,45.83.203.247,GET,12984,Business,NONE,ALLOW,
D00097,2026-09-08 15:13:08,shapaka,WKST-EXE-002,salesforce.com,41.182.195.224,GET,87982,Business,NONE,ALLOW,
D00098,2026-09-08 15:14:47,haufiku,WKST-SOC-003,github.com,41.182.252.60,CONNECT,175316,Cloud Storage,NONE,ALLOW,
D00099,2026-09-08 15:19:16,sankwasa,WKST-PRC-008,github.com,104.21.204.124,GET,12287,Cloud Storage,NONE,ALLOW,
D00100,2026-09-08 15:37:22,haufiku,WKST-SOC-003,github.com,45.83.207.199,GET,23041,Cloud Storage,NONE,ALLOW,
D00101,2026-09-08 15:59:03,sihuhua,WKST-SWK-008,bankofnamibia.org.na,104.21.14.202,POST,5579,Business,NONE,ALLOW,
D00102,2026-09-08 16:43:39,tjirera,WKST-AUD-004,office.com,104.21.236.225,CONNECT,10691,Business,NONE,ALLOW,
D00103,2026-09-08 16:45:32,katjiuongua,WKST-IT-012,microsoft.com,197.188.200.220,GET,76608,Business,NONE,ALLOW,
D00104,2026-09-08 16:50:16,katjiuongua,WKST-IT-012,nust.na,185.44.133.56,POST,41096,Business,NONE,ALLOW,
D00105,2026-09-08 17:19:35,nduminga,WKST-SWK-002,nust.na,197.188.61.74,POST,75142,Business,NONE,ALLOW,
D00106,2026-09-08 17:19:55,ntinda,WKST-MKT-010,salesforce.com,41.182.48.151,POST,18707,Business,NONE,ALLOW,
D00107,2026-09-08 17:31:28,tjirera,WKST-AUD-004,salesforce.com,104.21.242.108,POST,107370,Business,NONE,ALLOW,
D00108,2026-09-08 17:38:24,kndjavera,WKST-CMP-009,nust.na,196.44.48.136,CONNECT,12955,Business,NONE,ALLOW,
D00109,2026-09-08 17:47:36,shapaka,WKST-EXE-002,zoom.us,45.83.248.25,GET,31627,Business,NONE,ALLOW,
D00110,2026-09-08 17:51:06,nduminga,WKST-SWK-002,zoom.us,102.134.173.87,POST,23943,Business,NONE,ALLOW,
D00111,2026-09-08 17:54:46,pnakale,WKST-HR-002,dropbox.com,197.188.202.42,GET,83669,Cloud Storage,NONE,ALLOW,
D00112,2026-09-08 17:58:24,ntinda,WKST-MKT-010,microsoft.com,196.44.105.198,POST,21448,Business,NONE,ALLOW,
D00113,2026-09-08 18:02:25,haufiku,WKST-SOC-003,dropbox.com,41.182.130.191,POST,72408,Cloud Storage,NONE,ALLOW,
D00114,2026-09-08 18:37:10,shapaka,WKST-EXE-002,bankofnamibia.org.na,196.44.114.129,CONNECT,45293,Business,NONE,ALLOW,
D00115,2026-09-08 18:42:57,ntinda,WKST-MKT-010,bankofnamibia.org.na,104.21.106.86,CONNECT,45554,Business,NONE,ALLOW,
D00116,2026-09-08 18:57:07,kndjavera,WKST-CMP-009,zoom.us,196.44.230.23,POST,21162,Business,NONE,ALLOW,
D00117,2026-09-08 19:27:19,sankwasa,WKST-PRC-008,microsoft.com,196.44.155.32,CONNECT,25954,Business,NONE,ALLOW,
D00118,2026-09-08 19:57:05,nghifindaka,WKST-IT-005,dropbox.com,102.134.77.8,GET,30965,Cloud Storage,NONE,ALLOW,
D00119,2026-09-08 20:08:11,tkamati,WKST-CS-011,google.com,41.182.216.1,CONNECT,14508,Business,NONE,ALLOW,
D00120,2026-09-08 20:12:14,tkamati,WKST-CS-011,office.com,102.134.62.175,GET,35094,Business,NONE,ALLOW,
D00121,2026-09-08 20:13:26,nduminga,WKST-SWK-002,github.com,197.188.109.227,GET,11183,Cloud Storage,NONE,ALLOW,
D00122,2026-09-08 20:20:54,mhaingura,WKST-CS-017,google.com,185.44.135.146,GET,9308,Business,NONE,ALLOW,
D00123,2026-09-08 20:30:29,kndjavera,WKST-CMP-009,zoom.us,41.182.48.90,GET,12908,Business,NONE,ALLOW,
D00124,2026-09-08 20:33:20,kndjavera,WKST-CMP-009,bankofnamibia.org.na,45.83.42.204,GET,31804,Business,NONE,ALLOW,
D00125,2026-09-08 20:39:52,tjirera,WKST-AUD-004,github.com,196.44.24.132,POST,35611,Cloud Storage,NONE,ALLOW,
D00126,2026-09-08 20:40:08,ntinda,WKST-MKT-010,salesforce.com,196.44.216.225,POST,19586,Business,NONE,ALLOW,
D00127,2026-09-08 20:41:06,amupanda,WKST-CMP-003,zoom.us,104.21.119.147,GET,27617,Business,NONE,ALLOW,
D00128,2026-09-09 06:10:20,mukwambi,WKST-HR-014,github.com,102.134.66.188,GET,76114,Cloud Storage,NONE,ALLOW,
D00129,2026-09-09 06:47:04,shilongo,WKST-LOAN-018,bankofnamibia.org.na,104.21.151.151,GET,6779,Business,NONE,ALLOW,
D00130,2026-09-09 06:58:21,nghifindaka,WKST-IT-005,microsoft.com,185.44.168.112,GET,52098,Business,NONE,ALLOW,
D00131,2026-09-09 07:01:54,tjirera,WKST-AUD-004,salesforce.com,185.44.130.18,POST,32333,Business,NONE,ALLOW,
D00132,2026-09-09 07:18:02,tshivute,WKST-FIN-004,bankofnamibia.org.na,102.134.220.9,POST,21188,Business,NONE,ALLOW,
D00133,2026-09-09 07:27:43,katjiuongua,WKST-IT-012,bankofnamibia.org.na,104.21.236.232,GET,15760,Business,NONE,ALLOW,
D00134,2026-09-09 07:34:06,nghifindaka,WKST-IT-005,microsoft.com,104.21.141.7,POST,9151,Business,NONE,ALLOW,
D00135,2026-09-09 07:42:42,nambala,WKST-SWK-012,google.com,185.44.140.40,CONNECT,14132,Business,NONE,ALLOW,
D00136,2026-09-09 07:44:51,tjirera,WKST-AUD-004,dropbox.com,104.21.103.209,POST,6265,Cloud Storage,NONE,ALLOW,
D00137,2026-09-09 07:51:15,jkavari,WKST-FIN-021,office.com,196.44.237.197,GET,11826,Business,NONE,ALLOW,
D00138,2026-09-09 07:59:32,shapaka,WKST-EXE-002,zoom.us,197.188.147.219,POST,105339,Business,NONE,ALLOW,
D00139,2026-09-09 08:04:23,shilongo,WKST-LOAN-018,office.com,45.83.246.210,CONNECT,100535,Business,NONE,ALLOW,
D00140,2026-09-09 08:04:42,tjirera,WKST-AUD-004,dropbox.com,41.182.115.178,CONNECT,10256,Cloud Storage,NONE,ALLOW,
D00141,2026-09-09 08:17:13,shapaka,WKST-EXE-002,github.com,185.44.157.242,CONNECT,44516,Cloud Storage,NONE,ALLOW,
D00142,2026-09-09 08:17:50,nambala,WKST-SWK-012,microsoft.com,45.83.197.117,GET,19040,Business,NONE,ALLOW,
D00143,2026-09-09 08:58:49,kndjavera,WKST-CMP-009,bankofnamibia.org.na,104.21.26.142,CONNECT,48878,Business,NONE,ALLOW,
D00144,2026-09-09 09:07:38,pnakale,WKST-HR-002,dropbox.com,196.44.132.154,GET,257298,Cloud Storage,NONE,ALLOW,
D00145,2026-09-09 09:18:18,tjirera,WKST-AUD-004,google.com,196.44.126.145,GET,25486,Business,NONE,ALLOW,
D00146,2026-09-09 09:21:00,nghifindaka,WKST-IT-005,zoom.us,45.83.119.219,POST,91497,Business,NONE,ALLOW,
D00147,2026-09-09 09:25:18,kndjavera,WKST-CMP-009,dropbox.com,104.21.111.65,POST,3989,Cloud Storage,NONE,ALLOW,
D00148,2026-09-09 09:27:37,ndjaba,WKST-OND-004,microsoft.com,45.83.77.210,GET,11321,Business,NONE,ALLOW,
D00149,2026-09-09 09:58:43,jkavari,WKST-FIN-021,nust.na,185.44.32.33,POST,34905,Business,NONE,ALLOW,
D00150,2026-09-09 10:14:23,mhaingura,WKST-CS-017,bankofnamibia.org.na,185.44.237.112,GET,24989,Business,NONE,ALLOW,
D00151,2026-09-09 10:28:25,mukwambi,WKST-HR-014,salesforce.com,41.182.88.167,GET,10194,Business,NONE,ALLOW,
D00152,2026-09-09 10:28:43,mbandeka,WKST-LGL-005,github.com,197.188.63.170,CONNECT,11880,Cloud Storage,NONE,ALLOW,
D00153,2026-09-09 10:38:24,nambala,WKST-SWK-012,microsoft.com,185.44.155.205,CONNECT,48228,Business,NONE,ALLOW,
D00154,2026-09-09 10:56:28,nduminga,WKST-SWK-002,office.com,102.134.164.201,CONNECT,60989,Business,NONE,ALLOW,
D00155,2026-09-09 11:11:41,jkavari,WKST-FIN-021,google.com,102.134.87.122,POST,6120,Business,NONE,ALLOW,
D00156,2026-09-09 11:17:23,mukwambi,WKST-HR-014,nust.na,197.188.140.48,GET,99514,Business,NONE,ALLOW,
D00157,2026-09-09 11:38:19,mukwambi,WKST-HR-014,google.com,45.83.99.99,POST,13715,Business,NONE,ALLOW,
D00158,2026-09-09 11:50:57,jkavari,WKST-FIN-021,github.com,102.134.41.14,GET,4313,Cloud Storage,NONE,ALLOW,
D00159,2026-09-09 12:12:51,jkavari,WKST-FIN-021,microsoft.com,197.188.53.2,POST,61239,Business,NONE,ALLOW,
D00160,2026-09-09 12:20:11,pnakale,WKST-HR-002,zoom.us,196.44.59.184,POST,18004,Business,NONE,ALLOW,
D00161,2026-09-09 12:21:21,nambala,WKST-SWK-012,google.com,185.44.252.99,CONNECT,20777,Business,NONE,ALLOW,
D00162,2026-09-09 12:21:27,mukwambi,WKST-HR-014,github.com,45.83.163.23,GET,4410,Cloud Storage,NONE,ALLOW,
D00163,2026-09-09 12:24:48,mukwambi,WKST-HR-014,office.com,45.83.152.206,POST,125038,Business,NONE,ALLOW,
D00164,2026-09-09 12:59:16,sankwasa,WKST-PRC-008,office.com,196.44.217.151,POST,12551,Business,NONE,ALLOW,
D00165,2026-09-09 13:07:38,tjirera,WKST-AUD-004,salesforce.com,41.182.225.48,POST,10550,Business,NONE,ALLOW,
D00166,2026-09-09 13:10:37,ntinda,WKST-MKT-010,microsoft.com,41.182.134.182,CONNECT,12172,Business,NONE,ALLOW,
D00167,2026-09-09 13:23:06,shapaka,WKST-EXE-002,nust.na,45.83.168.112,GET,60607,Business,NONE,ALLOW,
D00168,2026-09-09 13:24:19,murorua,WKST-RSK-006,microsoft.com,45.83.133.187,POST,7173,Business,NONE,ALLOW,
D00169,2026-09-09 13:30:12,nnakale,WKST-CS-006,microsoft.com,196.44.190.146,POST,3798,Business,NONE,ALLOW,
D00170,2026-09-09 13:30:17,sihuhua,WKST-SWK-008,salesforce.com,197.188.214.120,GET,173767,Business,NONE,ALLOW,
D00171,2026-09-09 13:30:18,tshivute,WKST-FIN-004,dropbox.com,196.44.162.122,GET,5486,Cloud Storage,NONE,ALLOW,
D00172,2026-09-09 13:31:58,ntinda,WKST-MKT-010,github.com,104.21.61.110,CONNECT,21261,Cloud Storage,NONE,ALLOW,
D00173,2026-09-09 13:46:26,nduminga,WKST-SWK-002,microsoft.com,185.44.85.169,CONNECT,77508,Business,NONE,ALLOW,
D00174,2026-09-09 14:00:09,tshivute,WKST-FIN-004,bankofnamibia.org.na,185.44.1.23,POST,16537,Business,NONE,ALLOW,
D00175,2026-09-09 14:01:05,kndjavera,WKST-CMP-009,dropbox.com,185.44.112.219,POST,36808,Cloud Storage,NONE,ALLOW,
D00176,2026-09-09 14:05:02,tshivute,WKST-FIN-004,salesforce.com,196.44.67.17,POST,19497,Business,NONE,ALLOW,
D00177,2026-09-09 14:14:10,nduminga,WKST-SWK-002,google.com,185.44.223.42,CONNECT,10316,Business,NONE,ALLOW,
D00178,2026-09-09 14:15:22,shapaka,WKST-EXE-002,github.com,197.188.24.50,GET,28183,Cloud Storage,NONE,ALLOW,
D00179,2026-09-09 14:27:44,pnakale,WKST-HR-002,microsoft.com,197.188.170.76,GET,189798,Business,NONE,ALLOW,
D00180,2026-09-09 14:27:52,tkamati,WKST-CS-011,dropbox.com,196.44.17.212,CONNECT,97885,Cloud Storage,NONE,ALLOW,
D00181,2026-09-09 14:40:13,shilongo,WKST-LOAN-018,bankofnamibia.org.na,104.21.148.198,POST,90081,Business,NONE,ALLOW,
D00182,2026-09-09 14:52:35,pnakale,WKST-HR-002,zoom.us,185.44.213.137,POST,65940,Business,NONE,ALLOW,
D00183,2026-09-09 15:19:04,haufiku,WKST-SOC-003,office.com,45.83.138.151,POST,11716,Business,NONE,ALLOW,
D00184,2026-09-09 15:21:14,kndjavera,WKST-CMP-009,github.com,102.134.1.91,POST,32001,Cloud Storage,NONE,ALLOW,
D00185,2026-09-09 15:22:23,shilongo,WKST-LOAN-018,salesforce.com,197.188.89.84,GET,2294,Business,NONE,ALLOW,
D00186,2026-09-09 16:54:38,ntinda,WKST-MKT-010,office.com,104.21.58.93,GET,12176,Business,NONE,ALLOW,
D00187,2026-09-09 17:16:45,sankwasa,WKST-PRC-008,nust.na,102.134.155.7,CONNECT,155791,Business,NONE,ALLOW,
D00188,2026-09-09 17:33:43,kndjavera,WKST-CMP-009,zoom.us,104.21.73.216,CONNECT,29653,Business,NONE,ALLOW,
D00189,2026-09-09 17:34:06,nnakale,WKST-CS-006,dropbox.com,197.188.172.240,GET,6245,Cloud Storage,NONE,ALLOW,
D00190,2026-09-09 18:04:27,kndjavera,WKST-CMP-009,nust.na,102.134.181.46,CONNECT,16816,Business,NONE,ALLOW,
D00191,2026-09-09 18:17:38,mbandeka,WKST-LGL-005,office.com,104.21.97.159,CONNECT,28543,Business,NONE,ALLOW,
D00192,2026-09-09 18:52:26,mbandeka,WKST-LGL-005,github.com,104.21.214.45,CONNECT,215308,Cloud Storage,NONE,ALLOW,
D00193,2026-09-09 19:00:29,nambala,WKST-SWK-012,zoom.us,104.21.34.65,GET,29772,Business,NONE,ALLOW,
D00194,2026-09-09 19:11:27,katjiuongua,WKST-IT-012,office.com,197.188.168.225,GET,36051,Business,NONE,ALLOW,
D00195,2026-09-09 19:28:32,ntinda,WKST-MKT-010,microsoft.com,185.44.247.217,GET,58421,Business,NONE,ALLOW,
D00196,2026-09-09 20:00:32,nghifindaka,WKST-IT-005,zoom.us,102.134.79.35,CONNECT,36298,Business,NONE,ALLOW,
D00197,2026-09-09 20:18:33,mhaingura,WKST-CS-017,nust.na,102.134.124.141,CONNECT,22050,Business,NONE,ALLOW,
D00198,2026-09-09 20:19:45,nghifindaka,WKST-IT-005,google.com,197.188.232.242,CONNECT,16188,Business,NONE,ALLOW,
D00199,2026-09-09 20:59:03,ntinda,WKST-MKT-010,microsoft.com,102.134.163.226,CONNECT,82709,Business,NONE,ALLOW,
D00200,2026-09-09 20:59:33,kndjavera,WKST-CMP-009,microsoft.com,41.182.61.224,GET,73306,Business,NONE,ALLOW,
D00201,2026-09-10 06:10:55,sihuhua,WKST-SWK-008,dropbox.com,102.134.178.97,CONNECT,66439,Cloud Storage,NONE,ALLOW,
D00202,2026-09-10 06:18:37,mhaingura,WKST-CS-017,salesforce.com,45.83.12.220,CONNECT,160340,Business,NONE,ALLOW,
